name,x,y,time
Group 1,34.64,13.7,2025-09-19 13:20:00.379018
Group 1,34.77,13.59,2025-09-19 13:20:01.38195
Group 1,34.84,13.34,2025-09-19 13:20:02.378025
Group 1,34.96,13.17,2025-09-19 13:20:03.379023
Group 1,34.98,13.04,2025-09-19 13:20:04.378065
Group 1,34.98,12.93,2025-09-19 13:20:05.377615
Group 1,34.94,12.84,2025-09-19 13:20:06.378606
Group 1,35.14,12.92,2025-09-19 13:20:07.378889
Group 1,35.35,13.0,2025-09-19 13:20:08.377517
Group 1,35.69,13.05,2025-09-19 13:20:09.377437
Group 1,35.84,13.0,2025-09-19 13:20:10.377472
Group 1,35.77,12.87,2025-09-19 13:20:11.377512
Group 1,35.6,12.84,2025-09-19 13:20:12.377484
Group 1,35.85,13.04,2025-09-19 13:20:13.377431
Group 1,35.39,12.9,2025-09-19 13:20:14.377549
Group 1,35.45,12.9,2025-09-19 13:20:15.377602
Group 1,35.54,13.04,2025-09-19 13:20:16.377577
Group 1,35.52,13.05,2025-09-19 13:20:17.37761
Group 1,35.58,14.1,2025-09-19 13:20:18.377646
Group 1,35.68,13.92,2025-09-19 13:20:19.379477
Group 1,35.92,13.92,2025-09-19 13:20:20.382
Group 1,35.61,13.45,2025-09-19 13:20:21.379158
Group 1,35.82,13.35,2025-09-19 13:20:23.38208
Group 1,35.74,13.14,2025-09-19 13:20:24.379159
Group 1,35.48,12.88,2025-09-19 13:20:25.379218
Group 1,35.69,12.95,2025-09-19 13:20:26.379116
Group 1,35.5,13.11,2025-09-19 13:20:28.377648
Group 1,35.52,13.07,2025-09-19 13:20:29.377634
Group 1,35.5,13.08,2025-09-19 13:20:30.379555
Group 1,35.57,12.99,2025-09-19 13:20:31.377575
Group 1,35.85,13.02,2025-09-19 13:20:32.377637
Group 1,35.99,13.03,2025-09-19 13:20:33.377601
Group 1,35.93,12.96,2025-09-19 13:20:34.379091
Group 1,35.45,12.69,2025-09-19 13:20:35.377505
Group 1,35.55,12.98,2025-09-19 13:20:36.379334
Group 1,35.4,12.89,2025-09-19 13:20:37.379075
Group 1,35.47,12.9,2025-09-19 13:20:38.380489
Group 1,35.42,12.91,2025-09-19 13:20:40.377757
Group 1,35.17,12.82,2025-09-19 13:20:41.377424
Group 1,35.17,13.44,2025-09-19 13:20:42.377423
Group 1,35.32,13.51,2025-09-19 13:20:43.377542
Group 1,35.45,13.48,2025-09-19 13:20:44.380168
Group 1,35.28,13.32,2025-09-19 13:20:45.377414
Group 1,35.32,13.28,2025-09-19 13:20:47.377429
Group 1,35.43,13.29,2025-09-19 13:20:48.377538
Group 1,35.36,13.2,2025-09-19 13:20:49.377492
Group 1,35.32,13.2,2025-09-19 13:20:52.379105
Group 1,35.1,13.16,2025-09-19 13:20:53.378974
Group 1,34.95,13.54,2025-09-19 13:20:54.377508
Group 1,35.19,13.55,2025-09-19 13:20:56.377605
Group 1,35.53,13.6,2025-09-19 13:20:57.377533
Group 1,35.59,13.59,2025-09-19 13:20:58.377564
Group 1,35.48,13.35,2025-09-19 13:20:59.37751
Group 1,35.7,13.33,2025-09-19 13:21:00.377512
Group 1,36.02,13.23,2025-09-19 13:21:01.377486
Group 1,36.09,13.18,2025-09-19 13:21:02.377536
Group 1,35.99,13.02,2025-09-19 13:21:03.381964
Group 1,36.02,13.09,2025-09-19 13:21:04.379084
Group 1,36.33,13.13,2025-09-19 13:21:05.379008
Group 1,36.12,13.07,2025-09-19 13:21:06.3793
Group 1,36.25,13.08,2025-09-19 13:21:07.381842
Group 1,36.43,13.18,2025-09-19 13:21:08.379084
Group 1,36.57,13.0,2025-09-19 13:21:09.378942
Group 1,36.34,12.9,2025-09-19 13:21:10.378598
Group 1,36.33,12.75,2025-09-19 13:21:11.378763
Group 1,36.84,13.06,2025-09-19 13:21:12.380553
Group 1,36.5,12.85,2025-09-19 13:21:13.378859
Group 1,36.55,12.93,2025-09-19 13:21:14.378822
Group 1,36.51,12.86,2025-09-19 13:21:15.378776
Group 1,36.42,12.92,2025-09-19 13:21:16.378833
Group 1,35.97,12.67,2025-09-19 13:21:17.378983
Group 1,36.16,12.72,2025-09-19 13:21:18.379257
Group 1,35.84,12.65,2025-09-19 13:21:19.378923
Group 1,35.94,12.77,2025-09-19 13:21:20.378984
Group 1,35.83,12.71,2025-09-19 13:21:21.378887
Group 1,35.57,12.78,2025-09-19 13:21:22.381586
Group 1,35.63,12.95,2025-09-19 13:21:23.378864
Group 1,35.48,12.95,2025-09-19 13:21:24.381732
Group 1,35.6,13.27,2025-09-19 13:21:25.378918
Group 1,35.42,13.15,2025-09-19 13:21:26.379173
Group 1,35.49,13.19,2025-09-19 13:21:27.378934
Group 1,35.35,13.13,2025-09-19 13:21:28.378988
Group 1,35.36,13.16,2025-09-19 13:21:29.379179
Group 1,35.39,13.17,2025-09-19 13:21:30.379006
Group 1,35.74,13.23,2025-09-19 13:21:31.378908
Group 1,35.68,13.18,2025-09-19 13:21:32.381823
Group 1,35.65,13.09,2025-09-19 13:21:33.378885
Group 1,35.31,13.33,2025-09-19 13:21:34.378904
Group 1,35.24,13.26,2025-09-19 13:21:35.377492
Group 1,35.26,13.41,2025-09-19 13:21:36.377482
Group 1,35.48,13.28,2025-09-19 13:21:37.377445
Group 1,35.55,13.19,2025-09-19 13:21:38.377541
Group 1,35.72,13.13,2025-09-19 13:21:39.379349
Group 1,35.79,13.04,2025-09-19 13:21:40.381899
Group 1,35.86,13.25,2025-09-19 13:21:41.379023
Group 1,35.92,13.21,2025-09-19 13:21:42.378979
Group 1,35.99,13.54,2025-09-19 13:21:43.382391
Group 1,36.18,13.45,2025-09-19 13:21:44.37751
Group 1,36.28,13.64,2025-09-19 13:21:45.379503
Group 1,36.34,13.41,2025-09-19 13:21:46.377489
Group 1,36.2,13.33,2025-09-19 13:21:47.377679
Group 1,36.22,13.54,2025-09-19 13:21:48.378354
Group 1,36.22,13.61,2025-09-19 13:21:49.378913
Group 1,36.28,14.14,2025-09-19 13:21:50.377542
Group 1,36.24,13.87,2025-09-19 13:21:51.377641
Group 1,36.22,13.67,2025-09-19 13:21:52.379351
Group 1,35.79,13.37,2025-09-19 13:21:53.37801
Group 1,35.74,13.37,2025-09-19 13:21:54.377585
Group 1,35.87,13.39,2025-09-19 13:21:56.37765
Group 1,35.83,13.4,2025-09-19 13:21:57.377641
Group 1,35.87,13.43,2025-09-19 13:21:58.377586
Group 1,35.68,13.24,2025-09-19 13:21:59.379374
Group 1,35.38,12.99,2025-09-19 13:22:00.377606
Group 1,35.37,12.91,2025-09-19 13:22:01.377604
